condition,model,class,has_test_data,cv_f1,gen_f1,gap
real_only,Random Forest,DE_ball,True,0.9825489159175039,0.3527239150507849,0.629825000866719
real_only,Random Forest,DE_inner_race,True,0.993704092339979,0.021406727828746176,0.9722973645112328
real_only,Random Forest,DE_outer_race,True,0.9947201689545935,0.42961418143899893,0.5651059875155946
real_only,Random Forest,FE_ball,True,0.973404255319149,0.3532058492688414,0.6201984060503076
real_only,Random Forest,FE_inner_race,True,0.9931325937665082,0.004166666666666667,0.9889659270998415
real_only,Random Forest,FE_outer_race,True,0.9846965699208443,0.5110178384050367,0.47367873151580764
real_only,Random Forest,normal,False,0.9996489996489997,,
real_only,XGBoost,DE_ball,True,0.9863445378151261,0.6447831184056272,0.3415614194094989
real_only,XGBoost,DE_inner_race,True,0.9947368421052631,0.6359832635983264,0.3587535785069368
real_only,XGBoost,DE_outer_race,True,0.9952556668423828,0.16688741721854305,0.8283682496238397
real_only,XGBoost,FE_ball,True,0.9823623730625334,0.6732673267326733,0.30909504632986007
real_only,XGBoost,FE_inner_race,True,0.9952456418383518,0.1033210332103321,0.8919246086280197
real_only,XGBoost,FE_outer_race,True,0.9868073878627969,0.7214780600461894,0.26532932781660745
real_only,XGBoost,normal,False,0.9992977528089888,,
real_only,SVM,DE_ball,True,0.9352972119936875,0.35294117647058826,0.5823560355230992
real_only,SVM,DE_inner_race,True,0.9837611314824516,0.15709969788519637,0.8266614335972552
real_only,SVM,DE_outer_race,True,0.9790794979079498,0.12835472578763127,0.8507247721203185
real_only,SVM,FE_ball,True,0.9175314036045876,0.17691342534504392,0.7406179782595437
real_only,SVM,FE_inner_race,True,0.9843587069864442,0.09504950495049505,0.8893092020359492
real_only,SVM,FE_outer_race,True,0.9486500794070937,0.4785754034501948,0.4700746759568989
real_only,SVM,normal,False,1.0,,
real_only,KNN,DE_ball,True,0.9225840896956754,0.34465617232808615,0.5779279173675893
real_only,KNN,DE_inner_race,True,0.9827856025039123,0.1903323262839879,0.7924532762199245
real_only,KNN,DE_outer_race,True,0.9803505045140732,0.12818261633011413,0.8521678881839592
real_only,KNN,FE_ball,True,0.8812989921612542,0.17983193277310924,0.7014670593881449
real_only,KNN,FE_inner_race,True,0.9680741503604532,0.36938435940099834,0.5986897909594548
real_only,KNN,FE_outer_race,True,0.9371486969851814,0.35231143552311434,0.5848372614620672
real_only,KNN,normal,False,0.9992982456140351,,
real+vae,Random Forest,DE_ball,True,0.9825489159175039,0.37488789237668163,0.6076610235408223
real+vae,Random Forest,DE_inner_race,True,0.993704092339979,0.8396811337466785,0.1540229585933005
real+vae,Random Forest,DE_outer_race,True,0.9947201689545935,0.6616257088846881,0.3330944600699054
real+vae,Random Forest,FE_ball,True,0.973404255319149,0.5289256198347108,0.4444786354844382
real+vae,Random Forest,FE_inner_race,True,0.9931325937665082,0.6681974741676234,0.32493511959888477
real+vae,Random Forest,FE_outer_race,True,0.9846965699208443,0.4493116395494368,0.5353849303714076
real+vae,Random Forest,normal,False,0.9996489996489997,,
real+vae,XGBoost,DE_ball,True,0.9863445378151261,0.6618876941457587,0.32445684366936745
real+vae,XGBoost,DE_inner_race,True,0.9947368421052631,0.7815333882934872,0.21320345381177597
real+vae,XGBoost,DE_outer_race,True,0.9952556668423828,0.47374301675977654,0.5215126500826062
real+vae,XGBoost,FE_ball,True,0.9823623730625334,0.7245206861755802,0.2578416868869532
real+vae,XGBoost,FE_inner_race,True,0.9952456418383518,0.6181818181818182,0.3770638236565337
real+vae,XGBoost,FE_outer_race,True,0.9868073878627969,0.754874651810585,0.23193273605221187
real+vae,XGBoost,normal,False,0.9992977528089888,,
real+vae,SVM,DE_ball,True,0.9352972119936875,0.44155844155844154,0.493738770435246
real+vae,SVM,DE_inner_race,True,0.9837611314824516,0.8394618834080717,0.14429924807437988
real+vae,SVM,DE_outer_race,True,0.9790794979079498,0.615840118430792,0.3632393794771578
real+vae,SVM,FE_ball,True,0.9175314036045876,0.3584,0.5591314036045876
real+vae,SVM,FE_inner_race,True,0.9843587069864442,0.6045845272206304,0.37977417976581385
real+vae,SVM,FE_outer_race,True,0.9486500794070937,0.4900497512437811,0.4586003281633126
real+vae,SVM,normal,False,1.0,,
real+vae,KNN,DE_ball,True,0.9225840896956754,0.387459807073955,0.5351242826217204
real+vae,KNN,DE_inner_race,True,0.9827856025039123,0.5309090909090909,0.45187651159482145
real+vae,KNN,DE_outer_race,True,0.9803505045140732,0.16952380952380952,0.8108266949902637
real+vae,KNN,FE_ball,True,0.8812989921612542,0.18544366899302095,0.6958553231682332
real+vae,KNN,FE_inner_race,True,0.9680741503604532,0.6286509040333796,0.33942324632707355
real+vae,KNN,FE_outer_race,True,0.9371486969851814,0.40814299900695133,0.52900569797823
real+vae,KNN,normal,False,0.9992982456140351,,
